id_cliente,nome,email,data_nascimento,cpf,telefone
b278a3d1-8a42-4103-ad70-a55e1c17d0e4,Sr. Thales da Cruz,,INVALIDO,590.481.623-51,0500 810 4156
7e54cc93-f7d5-4f11-bb3b-9c4131c65fa5,Manuella Gonçalves,scamargo@example.net,1960-10-16,752.493.168-91,(051) 8933-7735
ec056a0d-0831-4d31-aaba-ea6cb2573a91,MATHIAS AZEVEDO,gustavo27@example.com,1944-04-10,206.783.541-62,31 4397-5967
a6df35c6-f653-46f7-bbbb-73ae3f363489,Stella Sampaio,mariahcastro@example.org,INVALIDO,921.807.634-50,(071) 0960 0720
4fb97c2c-d6b1-4d8a-9991-708c8357fb12,Sophia Borges,ana-sophiamacedo@example.net,1979-04-11,439.075.816-01,+55 61 2560 8243
db9380df-d8a4-44be-aef4-073d76a4294c,Brenda Camargo,rcassiano@example.org,1996-04-26,058.134.269-06,71 1972 1522
372ef086-c5d7-4cb2-a71f-ba62c6e454d1,Aurora Martins,luannovais@example.com,1963-07-01,962.053.814-51,21 0318 8937
ed9b59fb-adda-4527-8f9b-70b67b80a982,MARIA ALICE ANDRADE,,1946-12-03,794.056.123-52,0800 766 6607
e0005b80-42ee-4ff0-8320-dd27bd88a1cf,Pedro Henrique Rocha,olivia30@example.org,1955-09-01,802.694.531-05,
2aafa309-4336-4e18-95c3-4c780aa0ebde,João Miguel Guerra,gpastor@example.net,1970-06-08,510.974.638-93,84 9030-1429
5d0da591-6f8b-4520-86df-a03f6d6274e0,Maria Cecília Peixoto,,1963-08-24,810.956.723-12,(041) 7734-5303
0ad728ea-c9dc-4960-b761-540cdeb9adc4,Rafaela Albuquerque,rafael26@example.com,1998-02-23,348.621.590-60,61 0215 4268
1a3ab347-287e-4c49-abba-4226e82027ac,Alexandre Sá,dom63@example.com,2001-08-12,510.927.468-11,+55 21 4236 4359
632cfc97-a39d-4036-86e2-60d935c82095,Luiz Gustavo Guerra,cferreira@example.com,INVALIDO,402.567.139-52,(084) 4112 0741
18e252fc-01ea-4457-906a-528f6e6bf878,Eloah Sampaio,vasconcelosayla@example.com,1987-10-06,693.154.082-33,+55 (041) 6848 3901
2266330e-a3bb-4e24-a9d6-d304d2390ee3,Noah Campos,,1972-02-16,231.409.578-23,+55 71 9357 8453
57eddef2-8c2c-49d8-8b1c-34ad99a64282,Henry Gabriel Costa,npeixoto@example.com,1954-06-12,109.584.267-67,61 7514-9785
419ad5f8-0d5d-44c7-a680-743b7bc1f9f5,Otávio Abreu,abreuluiz-otavio@example.com,1977-12-26,321.675.498-73,0300-272-5591
b9907666-4122-4eae-b5bf-904ca0bba322,LUARA ALBUQUERQUE,vitorpacheco@example.org,1955-01-31,183.497.625-19,
00525187-bce8-4086-98ec-71f824442d8e,Maria Liz Garcia,luccapastor@example.org,1993-06-30,297.836.105-03,
076c0db4-5d06-425e-b2d0-4b805e561fbd,Felipe Castro,diegoteixeira@example.com,1997-01-16,219.078.645-20,+55 (081) 3744 6839
826af91b-9239-40d6-b2e9-71f4345c7985,Rebeca Pires,vpimenta@example.net,1959-07-08,320.981.456-24,+55 81 5632 5579
8893caca-3494-486f-9240-74fbca06efdc,Antônio da Paz,melinasilva@example.net,INVALIDO,305.276.981-21,+55 (031) 6224 1756
f84b965d-de3d-47ed-b593-c0aae6fab623,Hellena Campos,monteiroeloa@example.net,1978-05-11,457.203.896-10,
4114be82-6bed-4f8f-bffd-b0f53dba7d6e,Antonella Vasconcelos,alvescalebe@example.com,INVALIDO,710.239.684-87,0900-000-6907
2379c08d-882f-4dac-a7ac-42afaf4887ce,Aylla Duarte,luiz-felipecamargo@example.org,1995-09-29,572.146.308-26,81 3480 8762
9cd874fd-56f0-437c-a7d0-f7a87959d946,Liam Machado,pcavalcanti@example.net,1992-12-18,901.234.756-43,(041) 8156-4765
d2cc427a-2694-4e9d-869d-da70adbc28ef,Sophie Freitas,vieiramaria-helena@example.com,INVALIDO,914.537.628-09,
df2c7e7c-385c-40f7-9a72-e2bfc291a433,Manuela Lopes,asafeaparecida@example.org,1985-10-05,980.453.761-39,
bc4f34d6-7a99-4a95-9101-28ffb4fd52bc,Yuri Sousa,pda-rocha@example.com,1951-09-28,798.504.163-00,
8e30bbaf-af7c-4dd5-b989-804beff38eea,Marcos Vinicius Aparecida,isilva@example.com,INVALIDO,851.943.026-06,
f0598dfd-989c-4861-b21a-a51175242407,Pedro Lucas Duarte,luana19@example.org,2004-02-21,461.928.735-00,11 0979 3832
ad76b3c3-03f5-4426-ac83-73056bf8719f,Letícia Novais,thiago91@example.org,1983-04-23,028.576.493-47,+55 21 2038-6015
14c357a7-e70d-426e-ab67-bc35bc0472cc,Nathan Pastor,hteixeira@example.org,INVALIDO,851.962.704-85,(021) 0391 9267
001fa706-9383-4180-8239-6bbedfb71335,Davi Barros,agathaalbuquerque@example.net,1970-05-16,598.437.602-47,+55 (011) 5399 5943
690a5b59-15e9-45ae-a3df-07edba57e555,CAUÃ RODRIGUES,raquel33@example.com,INVALIDO,805.741.369-75,+55 (031) 6478-1769
cf53c92a-451a-4998-8978-c18f118723cc,Leandro Costa,mendesbeatriz@example.org,1991-03-14,654.708.913-48,51 8363 6603
4a7440b8-ec9f-4c54-bcb2-31cfa3b0caa6,Marcela Nunes,casa-grandeenzo@example.org,1979-06-22,769.034.821-13,51 5139 9695
d134e388-cf02-4d77-a7ff-bb9896bb3e00,Julia Souza,,1951-02-18,274.865.910-49,84 5185-3818
780177b3-1388-4b49-9883-9bbc64d54fd3,Arthur da Mota,allana65@example.org,1972-02-01,563.872.914-37,(081) 7377 6224
bf49a231-e655-4e25-aa54-47483d499c24,Juan Viana,,1976-09-03,698.421.750-49,
e3674ee4-577c-43dc-a773-3d38b4bcbcee,Luiz Henrique Silveira,enzo-gabrielfreitas@example.com,INVALIDO,076.258.413-08,0500-383-1319
2943827f-ae67-4d07-8e7a-6517868b18f2,Diego Guerra,otavio66@example.org,1991-07-01,703.254.816-44,+55 71 9182 0231
348ef7b4-cd58-4521-b3ec-18eb0ba1120f,Ana Júlia da Conceição,marcelo19@example.net,1977-06-18,536.281.790-68,0800-719-3473
32710913-cfd5-42f2-b44e-9cc901e757b2,Olivia Almeida,luiza70@example.org,1969-06-16,956.130.847-93,(031) 6773-3993
f3d1be4e-ddf7-4685-be06-4a9dd3f9874c,LUNA ALMEIDA,zgomes@example.com,1960-09-19,540.271.398-79,81 9645-3311
b6d77aaf-a597-4246-bfa9-a8b9ef17e20f,Davi Lucca da Mota,pda-cunha@example.com,1972-01-08,413.587.290-50,61 3101-3452
f1f9e45f-f838-4fcd-a2b9-febf26906710,Maria Cardoso,enzo32@example.net,1980-08-22,143.580.796-01,+55 (084) 3252-7416
1f7a4bf3-a28a-4b5c-84d3-49d936d0db58,José Mendonça,mjesus@example.net,1950-08-19,954.327.160-70,71 4640-0733
d63b16e9-ca7e-4a0d-ae41-64ab125b82c4,Stella Sampaio,mariahcastro@example.org,INVALIDO,921.807.634-50,(071) 0960 0720
5ea39f87-6743-4d3c-9f38-339df4fcf69d,Sophia Borges,ana-sophiamacedo@example.net,1979-04-11,439.075.816-01,+55 61 2560 8243
84100098-641f-436d-bc8d-99ed43674bce,Sophia Borges,ana-sophiamacedo@example.net,1979-04-11,439.075.816-01,+55 61 2560 8243
2d9d2379-8e3b-454f-9d1f-351efebb2f7f,Sr. Thales da Cruz,,INVALIDO,590.481.623-51,0500 810 4156
ebdb0d8e-c660-45ab-9edd-e8d560a9c3d3,Sr. Thales da Cruz,,INVALIDO,590.481.623-51,0500 810 4156
